review_id,product_id,brand,rating,title,text,date,verified,helpful_count
RDIVUZZPQK51FP,B0C381B6B5,Safari,4,Great product!,Perfect cabin luggage! Fits all airline requirements. Decent space. handle is of great quality. Will suggest to friends.,2025-11-17,True,5
RMMJBQE7CKW5NG,B0C381B6B5,Safari,3,Okay for the price,"Good for the price but has some issues. Affordable price. However, scratch marks. The compartments could be better. 3/5 would buy again.",2026-03-04,False,0
RQ4FMYZYCWTIQJ,B0C381B6B5,Safari,4,Perfect for travel,Using for office travel and it's perfect. Affordable price. Compact yet spacious. The material deserves special mention.,2025-05-16,True,0
R2OC6UZHR5XFF0,B0C381B6B5,Safari,4,Great product!,Using for office travel and it's perfect. Affordable price. Compact yet spacious. The compartments deserves special mention.,2025-07-07,True,0
R4FFYVNVQJT7YE,B0C381B6B5,Safari,4,Great product!,I bought this for my recent vacation and it was perfect. Decent space and the material is top notch. Safari has done a great job with this one.,2025-07-08,True,1
RQ85JSG65KXVF1,B0C381B6B5,Safari,4,Worth the money,Great quality for the price. Lightweight. Used it for my trip and it handled everything well. The compartments works smoothly. Highly recommend.,2025-07-06,True,5
RIIUC039TEX8FS,B0C381B6B5,Safari,4,Perfect for travel,Excellent luggage! Affordable price and lightweight. Very happy with my purchase. The build quality is really impressive. Would definitely buy again from Safari.,2025-06-02,True,0
RXPSEIMVIHCWI6,B0C381B6B5,Safari,4,Must buy!,"Five stars! Lightweight, good value, and excellent material. What more can you ask for at this price?",2025-10-21,False,0
RMO5BXXC02DGTF,B4776CE822,Safari,3,So-so,"It's okay. Affordable price. wheel quality though. For this price range, I guess it's acceptable. The weight is mediocre.",2026-01-05,True,0
R94874FRHOCN9J,B4776CE822,Safari,4,Must buy!,This is my second purchase from Safari and they never disappoint. Affordable price. The handle is even better than my previous bag.,2025-08-19,True,0
R8UT0CVS4F8CGV,B4776CE822,Safari,4,Love it!,I bought this for my recent vacation and it was perfect. Good value and the build quality is top notch. Safari has done a great job with this one.,2025-04-28,True,0
RLJYLJEXQ77AWU,B4776CE822,Safari,3,Fair product,"Decent product overall. Affordable price but scratch marks. The material is okay, nothing extraordinary. Serves its purpose for the price.",2026-02-16,False,0
RF4ZW9XA3KX7EE,B4776CE822,Safari,4,Perfect for travel,Premium feel without the premium price tag. Good value and lightweight. Really impressed with the handle.,2026-02-13,True,0
RHWJR64DPJA1WJ,B4776CE822,Safari,5,Highly recommended,Perfect cabin luggage! Fits all airline requirements. Good value. lock is of great quality. Will suggest to friends.,2025-08-25,True,0
RTPBN78BMYYMU5,B4776CE822,Safari,4,Fantastic purchase,Amazing product at this price point. Affordable price. The material feels durable and the zipper is very smooth. Recommended for frequent travelers.,2025-05-26,True,5
RA0L7253J2D54I,B4776CE822,Safari,4,Best luggage ever,Using for office travel and it's perfect. Good value. Compact yet spacious. The material deserves special mention.,2025-08-16,True,2
R8KXO9T7E8G8JD,B4776CE822,Safari,4,Excellent quality,Worth every rupee! Lightweight and good value. Took it on a 2-week trip and came back without any scratches. Safari quality is reliable.,2025-08-29,True,1
RBPS3Y70HP87WX,B4776CE822,Safari,3,Not bad,"Good for the price but has some issues. Decent space. However, handle durability. The weight could be better. 3/5 would buy again.",2026-02-04,True,0
RGXN0GUO4KH2VL,B4776CE822,Safari,4,Worth the money,"Five stars! Lightweight, decent space, and excellent weight. What more can you ask for at this price?",2025-08-25,True,0
RKXWD8IL3FB9W1,B4776CE822,Safari,4,Excellent quality,Very practical and well-designed. Good value. The interiors are well-organized with multiple pockets. build quality quality is commendable.,2025-08-18,True,0
RY6452H2ZQU7EE,B4776CE822,Safari,4,Must buy!,Worth every rupee! Good value and affordable price. Took it on a 2-week trip and came back without any scratches. Safari quality is reliable.,2025-08-14,True,12
R6P6QF5Q14J1RI,B4776CE822,Safari,4,Very satisfied,Very practical and well-designed. Decent space. The interiors are well-organized with multiple pockets. compartments quality is commendable.,2025-08-26,False,0
RTOHP6VZ41NAM1,B78CFEE677,Safari,4,Highly recommended,Great quality for the price. Decent space. Used it for my trip and it handled everything well. The material works smoothly. Highly recommend.,2025-09-06,True,1
RRNY20479T6VXD,B78CFEE677,Safari,5,Best luggage ever,This is my second purchase from Safari and they never disappoint. Good value. The material is even better than my previous bag.,2025-09-01,False,0
RK8P4Q0B8IC8BB,B78CFEE677,Safari,4,Best luggage ever,This is my second purchase from Safari and they never disappoint. Lightweight. The material is even better than my previous bag.,2025-12-03,True,0
RE8QJNV8Z2FLU7,B78CFEE677,Safari,4,Must buy!,"Very satisfied! The build quality is good, Good value. Packing was easy due to the spacious compartments. The zipper is excellent.",2025-06-18,True,5
R2UBTXCXAPRPN6,B78CFEE677,Safari,3,Okay for the price,"It's okay. Affordable price. zip quality though. For this price range, I guess it's acceptable. The handle is mediocre.",2025-08-16,True,0
R3VLI7KQ1UYMRL,B78CFEE677,Safari,4,Best luggage ever,Perfect cabin luggage! Fits all airline requirements. Decent space. lock is of great quality. Will suggest to friends.,2025-08-02,True,1
RZR1YXR2DHYLUR,B78CFEE677,Safari,3,Decent but not great,"Decent product overall. Good value but wheel quality. The lock is okay, nothing extraordinary. Serves its purpose for the price.",2025-07-11,True,25
R08YG0JV1V93KM,B420E780CA,Safari,5,Excellent quality,Great quality for the price. Good value. Used it for my trip and it handled everything well. The material works smoothly. Highly recommend.,2025-11-05,False,0
RDAKRM8J5ECRUY,B420E780CA,Safari,4,Amazing value,"Five stars! Good value, decent space, and excellent lock. What more can you ask for at this price?",2026-01-21,False,0
R1V2ISQP49KWV0,B420E780CA,Safari,5,Super happy,Great quality for the price. Good value. Used it for my trip and it handled everything well. The lock works smoothly. Highly recommend.,2025-12-23,True,0
RYQBKK4CIJ2V2H,B420E780CA,Safari,4,Amazing value,I bought this for my recent vacation and it was perfect. Affordable price and the handle is top notch. Safari has done a great job with this one.,2026-02-09,True,0
RFL0UKEYZ7SRCB,B420E780CA,Safari,4,Great product!,Using for office travel and it's perfect. Good value. Compact yet spacious. The lock deserves special mention.,2025-08-30,True,0
R1GSPK9P38QOLD,B420E780CA,Safari,4,Great product!,Very practical and well-designed. Lightweight. The interiors are well-organized with multiple pockets. wheels quality is commendable.,2026-01-16,True,0
RQLL8OS9XTOGN1,B420E780CA,Safari,4,Great product!,Bought for my parents - they loved it! Decent space and easy to maneuver. The lock makes it very convenient to use.,2025-05-23,True,0
R9VIFTTD96QE3R,B420E780CA,Safari,4,Great product!,This is my second purchase from Safari and they never disappoint. Decent space. The lock is even better than my previous bag.,2025-11-10,True,0
RFGV0EC14M2JA0,B420E780CA,Safari,4,Super happy,This is my second purchase from Safari and they never disappoint. Good value. The build quality is even better than my previous bag.,2025-06-12,True,0
RUI1B0Z3NX39RB,B39898F91D,Safari,4,Love it!,Using for office travel and it's perfect. Good value. Compact yet spacious. The compartments deserves special mention.,2025-07-25,True,0
R6AF58C2JWOCLY,B39898F91D,Safari,4,Super happy,Using for office travel and it's perfect. Decent space. Compact yet spacious. The handle deserves special mention.,2025-07-09,True,0
RYKID91ZDFKBLC,B39898F91D,Safari,4,Must buy!,Perfect cabin luggage! Fits all airline requirements. Affordable price. wheels is of great quality. Will suggest to friends.,2025-10-07,True,0
RVNYRUIWQY6QKT,B39898F91D,Safari,3,Okay for the price,"Average quality. Good value which is nice, but handle durability. Not bad for occasional trips but frequent travelers should consider spending more.",2026-03-02,True,0
R94DNMKZA3OA52,B39898F91D,Safari,3,Decent but not great,Mixed feelings about this one. Decent space is great but zip quality is disappointing. Would rate it average.,2026-03-14,True,1
RHGJ11YEDWB2BN,B39898F91D,Safari,4,Highly recommended,Very practical and well-designed. Good value. The interiors are well-organized with multiple pockets. lock quality is commendable.,2026-01-31,False,0
R63J3R30ME8F84,B39898F91D,Safari,4,Super happy,Very practical and well-designed. Lightweight. The interiors are well-organized with multiple pockets. zipper quality is commendable.,2025-04-28,True,8
RTQYYV37DIA5U6,B39898F91D,Safari,4,Perfect for travel,Great quality for the price. Decent space. Used it for my trip and it handled everything well. The compartments works smoothly. Highly recommend.,2025-12-16,True,0
RKRD5EQY08P0FO,B39898F91D,Safari,3,Average product,"Good for the price but has some issues. Good value. However, wheel quality. The weight could be better. 3/5 would buy again.",2026-02-17,True,0
RQIN9N6XCJ883D,B39898F91D,Safari,4,Amazing value,Excellent luggage! Lightweight and affordable price. Very happy with my purchase. The lock is really impressive. Would definitely buy again from Safari.,2025-12-21,True,0
R12VJ99T2D5EM2,B4F9315E17,Safari,4,Highly recommended,Perfect cabin luggage! Fits all airline requirements. Good value. material is of great quality. Will suggest to friends.,2025-06-11,True,0
R0R2SDS8B25SQ8,B4F9315E17,Safari,4,Excellent quality,I bought this for my recent vacation and it was perfect. Decent space and the wheels is top notch. Safari has done a great job with this one.,2026-03-08,True,2
RFEWVZNVKSP2EX,B4F9315E17,Safari,4,Fantastic purchase,Great quality for the price. Affordable price. Used it for my trip and it handled everything well. The build quality works smoothly. Highly recommend.,2025-06-30,True,0
R3O0LLJ8YRDDP0,B4F9315E17,Safari,4,Highly recommended,Premium feel without the premium price tag. Good value and lightweight. Really impressed with the build quality.,2025-09-30,True,0
R5Z8VMUHXID4N1,B4F9315E17,Safari,3,So-so,"Good for the price but has some issues. Decent space. However, zip quality. The compartments could be better. 3/5 would buy again.",2025-06-19,True,0
RZLMA5UOFWB0HP,B4F9315E17,Safari,3,Not bad,Mixed feelings about this one. Affordable price is great but handle durability is disappointing. Would rate it average.,2025-10-16,True,0
RYJXRPJ1EPKYRY,B4F9315E17,Safari,3,Average product,"Decent product overall. Good value but handle durability. The handle is okay, nothing extraordinary. Serves its purpose for the price.",2026-03-16,True,12
RRPETIUYMO0PQC,B0A318CA95,Safari,5,Great product!,Love this luggage! Lightweight and affordable price. Looks premium and feels sturdy. The lock quality is really good for this price range.,2025-10-30,True,0
R2W37D4IVSOLML,B0A318CA95,Safari,4,Worth the money,Worth every rupee! Affordable price and lightweight. Took it on a 2-week trip and came back without any scratches. Safari quality is reliable.,2026-01-12,False,0
R8XFDJGF1C8WQU,B0A318CA95,Safari,4,Very satisfied,Premium feel without the premium price tag. Lightweight and good value. Really impressed with the material.,2025-06-16,True,5
RCPKJCSLQC3C54,B0A318CA95,Safari,4,Amazing value,Using for office travel and it's perfect. Lightweight. Compact yet spacious. The compartments deserves special mention.,2025-05-29,True,0
RRFCD6MZSGIPPS,B0A318CA95,Safari,4,Fantastic purchase,This is my second purchase from Safari and they never disappoint. Good value. The wheels is even better than my previous bag.,2026-01-17,True,3
RDYK0X65MUFM8Z,B0A318CA95,Safari,4,Highly recommended,Very practical and well-designed. Lightweight. The interiors are well-organized with multiple pockets. wheels quality is commendable.,2025-09-20,False,1
R3Y30YSXPNNGH8,B0A318CA95,Safari,5,Highly recommended,Love this luggage! Decent space and lightweight. Looks premium and feels sturdy. The handle quality is really good for this price range.,2025-08-03,True,25
RF313FPOYIPK0Q,B84A775390,Safari,3,Could be better,Product looks good but scratch marks. Good value saves it somewhat. Usable but don't expect premium quality at this price.,2025-07-09,True,8
R89QKNS832EJX5,B84A775390,Safari,4,Must buy!,Premium feel without the premium price tag. Good value and lightweight. Really impressed with the build quality.,2025-06-29,True,1
R6FP8HQMABSI9N,B84A775390,Safari,4,Amazing value,Very practical and well-designed. Good value. The interiors are well-organized with multiple pockets. handle quality is commendable.,2026-03-25,True,0
