review_id,product_id,brand,rating,title,text,date,verified,helpful_count,full_text,vader_compound,vader_pos,vader_neg,vader_neu,textblob_polarity,textblob_subjectivity,combined_score,sentiment_label
RDIVUZZPQK51FP,B0C381B6B5,Safari,4,Great product!,Perfect cabin luggage! Fits all airline requirements. Decent space. handle is of great quality. Will suggest to friends.,2025-11-17,True,5,Great product!. Perfect cabin luggage! Fits all airline requirements. Decent space. handle is of great quality. Will suggest to friends.,0.9484,0.493,0.0,0.507,0.7417,0.7917,0.876,Positive
RMMJBQE7CKW5NG,B0C381B6B5,Safari,3,Okay for the price,"Good for the price but has some issues. Affordable price. However, scratch marks. The compartments could be better. 3/5 would buy again.",2026-03-04,False,0,"Okay for the price. Good for the price but has some issues. Affordable price. However, scratch marks. The compartments could be better. 3/5 would buy again.",0.7391,0.24,0.0,0.76,0.5667,0.5333,0.6787,Positive
RQ4FMYZYCWTIQJ,B0C381B6B5,Safari,4,Perfect for travel,Using for office travel and it's perfect. Affordable price. Compact yet spacious. The material deserves special mention.,2025-05-16,True,0,Perfect for travel. Using for office travel and it's perfect. Affordable price. Compact yet spacious. The material deserves special mention.,0.8779,0.373,0.0,0.627,0.7857,0.8571,0.8456,Positive
R2OC6UZHR5XFF0,B0C381B6B5,Safari,4,Great product!,Using for office travel and it's perfect. Affordable price. Compact yet spacious. The compartments deserves special mention.,2025-07-07,True,0,Great product!. Using for office travel and it's perfect. Affordable price. Compact yet spacious. The compartments deserves special mention.,0.8955,0.403,0.0,0.597,0.7857,0.7738,0.8571,Positive
R4FFYVNVQJT7YE,B0C381B6B5,Safari,4,Great product!,I bought this for my recent vacation and it was perfect. Decent space and the material is top notch. Safari has done a great job with this one.,2025-07-08,True,1,Great product!. I bought this for my recent vacation and it was perfect. Decent space and the material is top notch. Safari has done a great job with this one.,0.9324,0.35,0.0,0.65,0.5778,0.6528,0.8083,Positive
RQ85JSG65KXVF1,B0C381B6B5,Safari,4,Worth the money,Great quality for the price. Lightweight. Used it for my trip and it handled everything well. The compartments works smoothly. Highly recommend.,2025-07-06,True,5,Worth the money. Great quality for the price. Lightweight. Used it for my trip and it handled everything well. The compartments works smoothly. Highly recommend.,0.8718,0.342,0.0,0.658,0.42,0.4633,0.7137,Positive
RIIUC039TEX8FS,B0C381B6B5,Safari,4,Perfect for travel,Excellent luggage! Affordable price and lightweight. Very happy with my purchase. The build quality is really impressive. Would definitely buy again from Safari.,2025-06-02,True,0,Perfect for travel. Excellent luggage! Affordable price and lightweight. Very happy with my purchase. The build quality is really impressive. Would definitely buy again from Safari.,0.9598,0.465,0.0,0.535,0.8,0.9,0.9039,Positive
RXPSEIMVIHCWI6,B0C381B6B5,Safari,4,Must buy!,"Five stars! Lightweight, good value, and excellent material. What more can you ask for at this price?",2025-10-21,False,0,"Must buy!. Five stars! Lightweight, good value, and excellent material. What more can you ask for at this price?",0.8619,0.375,0.0,0.625,0.7333,0.7,0.8169,Positive
RMO5BXXC02DGTF,B4776CE822,Safari,3,So-so,"It's okay. Affordable price. wheel quality though. For this price range, I guess it's acceptable. The weight is mediocre.",2026-01-05,True,0,"So-so. It's okay. Affordable price. wheel quality though. For this price range, I guess it's acceptable. The weight is mediocre.",0.4939,0.189,0.0,0.811,0.0,0.75,0.321,Positive
R94874FRHOCN9J,B4776CE822,Safari,4,Must buy!,This is my second purchase from Safari and they never disappoint. Affordable price. The handle is even better than my previous bag.,2025-08-19,True,0,Must buy!. This is my second purchase from Safari and they never disappoint. Affordable price. The handle is even better than my previous bag.,0.6652,0.199,0.0,0.801,0.1111,0.2222,0.4713,Positive
R8UT0CVS4F8CGV,B4776CE822,Safari,4,Love it!,I bought this for my recent vacation and it was perfect. Good value and the build quality is top notch. Safari has done a great job with this one.,2025-04-28,True,0,Love it!. I bought this for my recent vacation and it was perfect. Good value and the build quality is top notch. Safari has done a great job with this one.,0.9606,0.437,0.0,0.563,0.6042,0.6167,0.8358,Positive
RLJYLJEXQ77AWU,B4776CE822,Safari,3,Fair product,"Decent product overall. Affordable price but scratch marks. The material is okay, nothing extraordinary. Serves its purpose for the price.",2026-02-16,False,0,"Fair product. Decent product overall. Affordable price but scratch marks. The material is okay, nothing extraordinary. Serves its purpose for the price.",0.4588,0.167,0.0,0.833,0.34,0.6133,0.4172,Positive
RF4ZW9XA3KX7EE,B4776CE822,Safari,4,Perfect for travel,Premium feel without the premium price tag. Good value and lightweight. Really impressed with the handle.,2026-02-13,True,0,Perfect for travel. Premium feel without the premium price tag. Good value and lightweight. Really impressed with the handle.,0.908,0.452,0.0,0.548,0.9,0.8667,0.9052,Positive
RHWJR64DPJA1WJ,B4776CE822,Safari,5,Highly recommended,Perfect cabin luggage! Fits all airline requirements. Good value. lock is of great quality. Will suggest to friends.,2025-08-25,True,0,Highly recommended. Perfect cabin luggage! Fits all airline requirements. Good value. lock is of great quality. Will suggest to friends.,0.9575,0.574,0.0,0.426,0.665,0.7225,0.8551,Positive
